অ
অই দ্র০ ওই
অঋণ
অঋণিতা, অঋণিত্ব [ণি]
অঋণী [ণী]
অংশ
অংশক
অংশকল্পনা
অংশগত
অংশগ্রহণ [ণ]
অংশগ্রহণকারিণী
অংশগ্রহণকারী
অংশগ্রাহিকা [হি]
অংশগ্রাহিণী [হি ণী]
অংশগ্রাহিতা [হি]
অংশগ্রাহী [হী]
অংশত [ অন্ত্যঃ বর্জ০]
অংশনীয় [নী]
অংশপ্রার্থী
অংশভাক
অংশভাগিনী [গি নী]
অংশভাগী [গী]
অংশরূপ
অংশরূপিণী [পি ণী]
অংশরূপী [পী]
অংশাংশি ‘ভাগাভাগি’
অংশাগ্র
অংশাঙ্কন [ন]
অংশাঙ্কিত
অংশানো [নো]
অংশাবতার
অংশিত [শি]
অংশিতা, অংশিত্ব [শি]
অংশী [শী]
অংশীগণ [শী]
অংশীদার
অংশীদারি [রি], +ত্ব
অংশু
অংশুক
অংশুজাল
অংশুধর
অংশুপ্রকাশ
অংশুবিকাশ
অংশুবিকিরণ
অংশুবিস্তার
অংশুমতী [তী]
অংশুমান
অংশুমালা
অংশুমালী [ লী < লিন্‌]
অংশুল, +তা
অংশ্য
অংশ্যমান
অংস ‘কাঁধ’, কি০ অংশ ‘ভাগ’
অংসকুট
অংসফলক
অংসফলকাস্থি
অংসল
অকটবিকট
অকণ্টক [ণ্ট]
অকথন
অকথনীয়, +তা
অকথাকুকথা
অকথিত
অকথ্য, +তা
অকথ্যকথন
অকপট, +তা
অকপটচিত্ত, +তা
অকমনীয়, +তা
অকম্প
অকম্পন
অকম্পনশীল, +তা
অকম্পমান
অকম্পিত
অকম্প্র, +তা
অকম্মা
অকম্মার ধাড়ি
অকর
অকরণ [ণ]
